NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
440506229,2025,FS,4,NAMPO AS/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,AGRICULTURAL,FEZILE DABI,6,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),125221,822069,3202028,,26.65675452,-27.25109402,Moqhaka,Moqhaka,8,41104001,Bothaville NU,MOFOKENG (Acting),99,99,BOTHAVILLE,"Rustig, , , BOTHAVILLE, 9660","PO BOX 345, Bothaville, 9660",,,Yes,ABCDE,Q1,99,99,,No Fee,Urban,99,FS,NOT MOVED,440506229,440506229,844,32
440506333,2025,FS,4,KLEINBROEK PF/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,6,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),125514,194108,,,26.604142270000001,-27.213586039999999,Moqhaka,Moqhaka,8,41704005,Viljoenskroon NU,GROBLER,Dist. Bothaville,Dist. Bothaville,BOTHAVILLE,"Kleinbroekmansfontein (plaas), Dist. Bothaville, Dist. Bothaville, BOTHAVILLE, 9660","PO BOX 51, Bothaville, 9660",,,Yes,ABCDE,Q4,99,99,,Fee Charging,Rural,99,FS,NOT MOVED,440506333,440506333,72,9
441610028,2025,FS,4,GUGULETHU P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129204,822388,,,28.506765819999998,-27.266366349999998,Mafube,Mafube,5,42002000,Frankfort SP,SEGOPA,NAMAHADI,NAMAHADI,FRANKFORT,"1216 Mapohoshe Street, NAMAHADI , NAMAHADI , FRANKFORT, 9830","PO BOX 19, , 9830",,,Yes,ABCDE,Q3,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610028,441610028,525,21
441610084,2025,FS,4,FALESIZWE S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129203,822383,3201007,,28.508990799999999,-27.261592660000002,Mafube,Mafube,7,42005000,Namahadi SP,MOTLOUNG,NAMAHADI,NAMAHADI,FRANKFORT,"1221 MABOYA STREET, NAMAHADI, NAMAHADI, FRANKFORT, 9830","P O Box 550, FRANKFORT, 9830",,,Yes,ABCDE,Q1,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610084,441610084,1338,42
441610088,2025,FS,4,RETSHEDISITSWE S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129220,822451,3201026,,28.627619939999999,-27.021743180000001,Mafube,Mafube,3,42007000,Qalabotjha SP,MORAKE,Qalabotjha Loc,Qalabotjha Loc,VILLIERS,"1538 Ext 4 , Qalabotjha Loc , Qalabotjha Loc , VILLIERS, 9840","PO BOX 178, Qalabotjha Location , 9840",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610088,441610088,829,26
441610173,2025,FS,4,QALABOTJHA S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129217,822450,3201023,,28.622778879999998,-27.016097810000002,Mafube,Mafube,4,42008000,Villiers SP,MASILO,Qalabotjha,Qalabotjha,VILLIERS,"794 Wetsie Street, Qalabotjha, Qalabotjha, VILLIERS, 9840","WETSIE STREET 794, Villiers, 9840",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610173,441610173,1185,39
441610193,2025,FS,4,REFENG THABO S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129219,822384,3201024,,28.517096179999999,-27.54972665,Mafube,Mafube,8,42003000,Mafahlaneng SP,TSIE (Deputy),Mafahlaneng,Mafahlaneng,TWEELING,"702 Mokoena Street, Mafahlaneng, Mafahlaneng, TWEELING, 9820","PO BOX 106, Mafahlaneng, 9820",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610193,441610193,750,23
441610200,2025,FS,4,MFUNDO THUTO S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129214,822385,3201016,,28.517364189999999,-27.251347289999998,Mafube,Mafube,4,42004001,Frankfort NU,MOTAUNG,Namahadi,Namahadi,FRANKFORT,"4768 Seabata Section, Namahadi, Namahadi, FRANKFORT, 9830","PO BOX 576, Namahadi, 9830",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610200,441610200,1071,33
441610202,2025,FS,4,PHOMELLO P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129511,822454,,,28.61831377,-27.01991421,Mafube,Mafube,4,42007000,Qalabotjha SP,MOTLOUNG,Qalabotjha,Qalabotjha,VILLIERS,"2087 Tsolo Street , Qalabotjha, Qalabotjha, VILLIERS, 9840","PO BOX 233, , 9840",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610202,441610202,1002,29
441610208,2025,FS,4,THUTO-KE-TSELA P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129518,822390,,,28.51129049,-27.258112560000001,Mafube,Mafube,5,42005000,Namahadi SP,MOKOENA (Acting),Namahadi,Namahadi,FRANKFORT,"2333 Sunrise Section, Namahadi, Namahadi, FRANKFORT, 9830","PO BOX 180, , 9830",,,Yes,ABCDE,Q3,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610208,441610208,1403,33
441610216,2025,FS,4,MEDUWANENG P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129505,822391,,,28.50175042,-27.267343489999998,Mafube,Mafube,5,42005000,Namahadi SP,MAKUE,FRANKFORT,FRANKFORT,FRANKFORT,"1210 NAMAHADI , FRANKFORT, FRANKFORT, FRANKFORT, 9830","KETSE STREET 1210, FRANKFORT, 9830",,,Yes,ABCDE,Q3,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610216,441610216,829,27
441610221,2025,FS,4,ZAMALEKA P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129522,822453,,,28.619707559999998,-27.01767224,Mafube,Mafube,4,42007000,Qalabotjha SP,MAZIBUKO,Qalabotjha Location,Qalabotjha Location,VILLIERS,"731 Mphuthi Street, Qalabotjha Location, Qalabotjha Location, VILLIERS, 9840","PO BOX 181, Qalabotjha Loc, 9840",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610221,441610221,1092,36
441610246,2025,FS,4,TSHEDISO XOLANI P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129520,822387,,,28.520778700000001,-27.544077210000001,Mafube,Mafube,8,42003000,Mafahlaneng SP,PHAKOE,Mafahlaneng,Mafahlaneng,TWEELING,"162 Mokoena Street, Mafahlaneng, Mafahlaneng, TWEELING, 9820","162 MOKOENA STR. 1, Mafahlaneng, 9820",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610246,441610246,899,28
441610263,2025,FS,4,POELANO P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129512,822393,,,28.506567440000001,-27.254649229999998,Mafube,Mafube,6,42005000,Namahadi SP,MOKOENA,Namahadi,Namahadi,FRANKFORT,"3825 Phahameng , Namahadi , Namahadi , FRANKFORT, 9830","PO BOX 94, Phahameng, 9830",,,Yes,ABCDE,Q3,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610263,441610263,1316,40
441610264,2025,FS,4,TWEELING C/S,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129223,180006,3201031,,28.520687550000002,-27.55431282,Mafube,Mafube,8,42003002,Tweeling,BRITS,99,99,TWEELING,"49 PIET RETIEF STREET, , , TWEELING, 9820","PO BOX 54, , 9820",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610264,441610264,535,19
441610265,2025,FS,4,VILLIERS C/S,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,HOUSE OF ASSEMBLY(HOA),129224,191312,3201034,,28.602478120000001,-27.033053389999999,Mafube,Mafube,4,42008001,Villiers CBD,MEYER,99,99,VILLIERS,"Lombaardstraat, , , VILLIERS, 9840","PO BOX 68, , 9840",,,Yes,ABCDE,Q4,99,99,,Fee Charging,Urban,99,FS,NOT MOVED,441610265,441610265,321,25
441610266,2025,FS,4,WILGERIVIER C/S,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,HOUSE OF ASSEMBLY(HOA),129226,191314,3201036,,28.508812880000001,-27.26176852,Mafube,Mafube,5,42002000,Frankfort SP,PELSTER,99,99,FRANKFORT,"Markstraat, , , FRANKFORT, 9830","PO BOX 16, , 9830",,,Yes,ABCDE,Q5,99,99,,Fee Charging,Urban,99,FS,NOT MOVED,441610266,441610266,561,34
441610358,2025,FS,4,TSEBO-ULWAZI S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),130211,824100,3201029,,28.508145129999999,-27.261378929999999,Mafube,Mafube,6,42005000,Namahadi SP,SEBILOANE,1172 MABUYA STREET,1172 MABUYA STREET,FRANKFORT,"TSEBO - ULWAZI SECONDARY SCHOOL, 1172 MABUYA STREET, 1172 MABUYA STREET, FRANKFORT, 9830","PO BOX 302, P.O. BOX 302, 9830",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610358,441610358,333,12
441610364,2025,FS,4,MOHLAKENG P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129523,824106,,,28.627028880000001,-27.01712985,Mafube,Mafube,4,42008000,Villiers SP,MOTAUNG (Deputy),QALABOTJHA,QALABOTJHA,VILLIERS,"1369 Ext 3, QALABOTJHA, QALABOTJHA, VILLIERS, 9840","PO BOX 237, QALABOTJHA , 9840",,,Yes,ABCDE,Q1,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610364,441610364,546,18
441811013,2025,FS,4,KRAANVOëLVLAKTE PF/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,3,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),130896,822338,,,28.2057295,-26.99262688,Metsimaholo,Metsimaholo,5,41905001,Heilbron NU,MODISE,99,99,ORANJEVILLE,"46 SCOTT STREET, , , ORANJEVILLE, 1995","PO BOX 103, ORANJEVILLE, 1995",,,No,NONE,Q1,99,99,,No Fee,Rural,99,FS,NOT MOVED,441811013,441811013,252,9
441811038,2025,FS,4,PHIRIHADI P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,2,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),130539,822314,,,27.97415797,-27.268574050000002,Ngwathe,Ngwathe,3,41808000,Phiritona SP,RANTSEBE,Phiritona,Phiritona,HEILBRON,"1002 Leie Street, Phiritona, Phiritona, HEILBRON, 9650","LEIE 1002, Heilbro                       , 9650",,,Yes,ABCDE,Q3,99,99,,No Fee,Urban,99,FS,NOT MOVED,441811038,441811038,967,27
