NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
700160135,2025,GT,7,ASSUMPTION CONVENT,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EKURHULENI NORTH,1,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.122043609999999,-26.198797460000002,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700036,797008031,WYCHWOOD,ANTHEA WEINERLEIN,,MALVERN EAST,GERMISTON,"1, CNR. MULLINS ROAD AND PANDORA ROAD, , MALVERN EAST, GERMISTON",PO BOX 752127 GARDENVIEW 2047,,116165053,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700160135,99,393,33
700160176,2025,GT,7,BEDFORDVIEW CHRISTIAN COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,EKURHULENI NORTH,1,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.124158999999999,-26.175930999999999,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700020,797008019,BEDFORDVIEW,ABIGAIL SMULDERS,,BEDFORDVIEW,JOHANNESBURG,"32, CONCORDE ROAD, , BEDFORDVIEW, JOHANNESBURG",,,100062183,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700160176,99,780,50
700160184,2025,GT,7,BEDFORDVIEW HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY & TECHNICAL,EKURHULENI NORTH,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917112,917112,8160184,,28.127953538900002,-26.195706001400001,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700020,797008019,BEDFORDVIEW,MPHO COLLINS TSHISUDI,BEDFORDVIEW,GERMISTON,JOHANNESBURG,"1, HEALEY ROAD, BEDFORDVIEW, GERMISTON, JOHANNESBURG",X 2 BEDFORDVIEW 2008,,825544750,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700160184,99,1152,44
700260810,2025,GT,7,SPARTAN HIGH SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EKURHULENI NORTH,1,INDEPENDENT,INDEPENDENT,DEPARTMENT OF EDUCATION & TRAINING(DET),99,99,8260810,,28.222733000000002,-26.116838999999999,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700017,797006032,SPARTAN,LINDA LEONIE  OBERHOLZER,,SPARTAN,KEMPTON PARK,"6, 6 KELVIN STREET, , SPARTAN, KEMPTON PARK",P. O. BOX 8130 BIRCHLEIGH 1620,,113947719,NO,NONE,N/A,,NOT APPLICABLE,16.08.1996,NO,URBAN,,GT,NOT MOVED,700260810,99,393,20
700260828,2025,GT,7,GAHLANSO PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,EKURHULENI NORTH,4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917038,917038,,,28.2008352792,-26.015458756899999,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700010,797005025,KHATAMPING,LERATO URGEN MAHETJIE,TEMBISA,KEMPTON PARK,KEMPTON PARK,"3, ROBERT MATHEKGA STREET, TEMBISA, KEMPTON PARK, KEMPTON PARK",P.O BOX 146 TEMBISA 1632,,104478840,YES,ACD,Q3,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260828,99,1466,37
700260836,2025,GT,7,IKUSASA COMPREHENSIVE SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EKURHULENI NORTH,4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917133,917133,8260836,,28.240019479499999,-26.008556609700001,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700004,797005036,MQANTSA,GLADWELL MAKHOBA,TEMBISA,KEMPTON PARK,KEMPTON PARK,"1, ISITHEBE SECTI0ON, TEMBISA, KEMPTON PARK, KEMPTON PARK",P.O. BOX 216 TEMBISA 1632,,110260137,YES,ACD,Q3,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260836,99,2593,79
700260877,2025,GT,7,INQAYIZIVELE SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EKURHULENI NORTH,4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917134,917134,8260877,,28.219777389800001,-26.000356570200001,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700007,797005018,TSENOLONG,MOGOBE JOHANNES MAEBELA,TEMBISA,KEMPTON PARK,JOHANNESBURG,"156, TSENELONG SECTION LUANGWA STREET, TEMBISA, KEMPTON PARK, JOHANNESBURG",PO BOX 163 TEMBISA 1632,,101401415,YES,ACD,Q4,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260877,99,2087,64
700260885,2025,GT,7,PHOMOLONG PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,EKURHULENI NORTH,3,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917080,917080,,,28.182519990399999,-26.040965270099999,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700012,797005065,PHOMOLONG,VUSUMUZI J ACTING PRINCIPAL,PHOMOLONG SECTION,TEMBISA,KEMPTON PARK,"3816, MAHLANGU STREET, PHOMOLONG SECTION, TEMBISA, KEMPTON PARK",1632 EDLEEN 0920,,119246082,YES,ACD,Q3,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260885,99,2037,56
700260893,2025,GT,7,INXIWENI PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,EKURHULENI NORTH,4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917041,917041,,,28.2180613596,-26.020079040100001,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700014,797005050,INXIWENI,RUTH NOZIBELE TABU,INXIWENI SECTION,TEMBISA,KEMPTON PARK,"03, CORNER NGEMA  AND JACKIE  NCUBE DRIVE, INXIWENI SECTION, TEMBISA, KEMPTON PARK",143 TEMBISA 1628,,119256904,YES,ACD,Q3,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260893,99,1458,43
700260901,2025,GT,7,IPONTSHE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,EKURHULENI NORTH,4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917042,917042,,,28.193088320000001,-26.01656681,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700011,797005027,UMNONJANENI,MANTLHALO SALLY MAMPA,UMNONJANENI SECTION,TEMBISA,KEMPTON PARK,"445, JAMES MOLEYA STREET, UMNONJANENI SECTION, TEMBISA, KEMPTON PARK",BOX 269 TEMBISA 1632,,119253323,YES,ACD,Q4,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260901,99,1005,27
