NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
500231287,2025,KZN,5,NKABANE COMBINED SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY ,AMAJUBA,Masakhane,Govt,Govt,KWAZULU NATAL EDUCATION DEPARTMENT,141870,320068,,0,30.114999999999998,-27.808800000000002,AMAJUBA,Dannhauser Local Municipality,52504010,52406001,OSIZWENI WARD A,Miss F.P. MNCUBE,,OSIZWENI,,"EASTBOURNE NEXT TO CLINIC FARM,OSIZWENI,NEWCASTLE,2952","PRIVATE BAG X4017,OSIZWENI,2952",nkabanecombined@gmail.com,739588209,99,99,3,N,NOT APPLICABLE,02.01.1900,No Fee,URBAN,0,KZ,KZ,500231287,500231287,516,19
500242794,2025,KZN,5,ODOLAND PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY ,AMAJUBA,Ebuhleni,Farm,Govt,DEPARTMENT OF EDUCATION & TRAINING(DET),53608,53528,500242794,0,30.283439999999999,-27.77636,AMAJUBA,Emadlangeni Local Municipality,52503003,52501003,UTRECHT NU,MR G.K CHONCO,SANDSPRUIT FARM,SANDSPRUIT FARM,,"SANDSPRUIT FARM,UTRECHT,2980","P.O.BOX 315,UTRECHT,2980",Choncogift7@gmail.com,795616435,NO,NONE,1,N,NOT APPLICABLE,02.01.1900,No Fee,RURAL,0,KZ,KZ,500242794,500242794,28,6
500246124,2025,KZN,5,PANORAMA COMBINED SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY ,AMAJUBA,Phumelela,Govt,Govt Education,HOUSE OF ASSEMBLY(HOA),70715,70336,5213222,5213222,29.956299999999999,-27.7334,AMAJUBA,Newcastle Local Municipality,52502005,52404005,BARRY HERTZOG PARK,MR T MTHETHWA,,BARRY HERTZOG PARK,,"16 JBM HERTZOG,HERTZOG PARK,NEWCASTLE,2940","P.O.BOX 5331,NEWCASTLE,2940",pancom@telkomsa.net,343183383,NO,NONE,5,N,NOT APPLICABLE,02.01.1900,Fee Charging,URBAN,0,KZ,KZ,500246124,500246124,1107,40
500256780,2025,KZN,5,RUTLAND COMBINED SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY ,AMAJUBA,Buffalo Flats,Trust Land,Govt,KWAZULU NATAL EDUCATION DEPARTMENT,141280,320084,,0,30.2133,-27.9453,AMAJUBA,Dannhauser Local Municipality,52504006,52606037,RUTLAND,MR G MNGOMEZULU,,NYANYADU,,"RUTLAND FARM NYANYADU AREA,DUNDEE,3000","PRIVATE BAG X8454,DUNDEE,3000",RUTLAND-CS@kznschools.gov.za,663463881,NO,NONE,2,N,NOT APPLICABLE,02.01.1900,No Fee,RURAL,0,KZ,KZ,500256780,500256780,436,13
500261072,2025,KZN,5,SGODIPHOLA PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY ,AMAJUBA,Ebuhleni,Trust Land,Govt,KWAZULU NATAL EDUCATION DEPARTMENT,141950,320089,,0,30.194900000000001,-27.742899999999999,AMAJUBA,Newcastle Local Municipality,52502007,52402013,WITTEKLIP,Ms. E.N. MNCUBE,,OSIZWENI,,"WITTERKLIP FARM,OSIZWENI,NEWCASTLE,2952","P.O.BOX 52116,OSIZWENI,2952",sgodipholaprimary@gmail.com,838801625,NO,NONE,3,N,NOT APPLICABLE,02.01.1900,No Fee,RURAL,0,KZ,KZ,500261072,500261072,396,17
500267917,2025,KZN,5,SIPHUTHANDO PUBLIC COMBINED SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY ,AMAJUBA,Normandien,Govt Education,Govt Education,DEPARTMENT OF EDUCATION & TRAINING(DET),54160,53148,5213128,5213128,30.0594,-28.030000000000001,AMAJUBA,Dannhauser Local Municipality,52504002,52607007,PALMIETFONTEIN,Mr. A.D.Z. MKHWANAZI,,NEWCASTLE,,"5924 EMAFUSINI,DANNHAUSER,3080","P.O.BOX 515,DANNHAUSER,3080",siphuthandoschool@gmail.com,661768540,NO,NONE,3,N,NOT APPLICABLE,02.01.1900,No Fee,RURAL,0,KZ,KZ,500267917,500267917,545,15
500290561,2025,KZN,5,UTRECHT HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY ,AMAJUBA,Ebuhleni,Govt,Govt,HOUSE OF ASSEMBLY(HOA),70899,73690,5213234,5213234,30.319700000000001,-27.6587,AMAJUBA,Emadlangeni Local Municipality,52503002,52503000,NONE,Mrs M MOSTERT,,,,"CORNER OF HOOG AND LOOP STREET,UTRECHT CBD,UTRECHT,2980","P.O.BOX 430,UTRECHT,2980",admin@utrechthighschool.co.za,343313047,NO,NONE,4,N,NOT APPLICABLE,02.01.1900,Fee Charging,RURAL,0,KZ,KZ,500290561,500290561,463,26
500447441,2025,KZN,5,NZIMENDE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,AMAJUBA,Masakhane,Govt,Govt,UNKNOWN,320143,320143,,0,30.0685,-27.784600000000001,AMAJUBA,Newcastle Local Municipality,52502016,,TO BE UPDATED,MR SJ NKOSI,,MADADENI,,DRYCUT FARM MADADENI NEWCASTLE 2951,"P.O.BOX 14935,MADADENI,2951",nkosisj1055@gmail.com,782217970,NO,NONE,3,N,NOT APPLICABLE,02.01.1900,No Fee,TO BE UPDATED,0,KZ,KZ,500447441,500447441,516,14
500447478,2025,KZN,5,KHETHOKUHLE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,AMAJUBA,Ebuhleni,Govt,Govt Education,UNKNOWN,320151,320151,,0,30.1831,-27.762599999999999,AMAJUBA,Newcastle Local Municipality,52502007,,TO BE UPDATED,Mrs. N C P NKOSI,,OSIZWENI,,MNDOZO FARM OSIZWENI NEWCASTLE 2952,,khethokuhleprimaryschool@gmail.com,633967596,99,99,3,N,NOT APPLICABLE,02.01.1900,No Fee,TO BE UPDATED,0,KZ,KZ,500447478,500447478,1682,34
500447515,2025,KZN,5,ITHAMSANQA PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,AMAJUBA,Ebuhleni,Govt,Govt,UNKNOWN,320144,320144,,5213241,30.237500000000001,-27.722100000000001,AMAJUBA,Emadlangeni Local Municipality,52503003,,TO BE UPDATED,MS F BUTHELEZI,,UTRECHT,,VAALBANK UTRECHT UTRECHT 2980,"P.O.BOX 52093,OSIZWENI,2952",zamombatha30@gmail.co,834735015,NO,NONE,2,N,NOT APPLICABLE,02.01.1900,No Fee,TO BE UPDATED,0,KZ,KZ,500447515,500447515,668,18
500341954,2025,KZN,5,SATHYA SAI SCHOOL NEWCASTLE,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,AMAJUBA,Masakhane,Trust Land,Trust Land,NEW EDUCATION DEPARTMENT,,,,0,29.9209,-27.777699999999999,AMAJUBA,Newcastle Local Municipality,52502025,,TO BE UPDATED,Mrs H N BUTHELEZI,,LENNOXTON,,"2 HILLBROW,VLAM,NEWCASTLE,2940","P.O.BOX 67,NEWCASTLE,2940",secretarync@srisathyasai.org.za,343173863,NO,NONE,99,N,NOT APPLICABLE,02.01.1900,,TO BE UPDATED,0,KZ,KZ,500341954,500341954,108,5
500275539,2025,KZN,5,ST DOMINICS NEWCASTLE COMBINED SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY ,AMAJUBA,Phumelela,Private Company,Private Company,KWAZULU NATAL EDUCATION DEPARTMENT,,,,0,29.921199999999999,-27.7621,AMAJUBA,Newcastle Local Municipality,52502025,52404013,NEWCASTLE CBD,MR C MOSES,,,,"148 MURCHISON STREET,NEWCASTLE CENTRAL,NEWCASTLE,2940","P.O.BOX 6660,NEWCASTLE,2940",nokwanda.m1@curro.co.za,343128316,NO,NONE,99,N,NOT APPLICABLE,02.01.1900,,URBAN,0,KZ,KZ,500275539,500275539,622,44
500296666,2025,KZN,5,WIT-UMFOLOZI COMBINED SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY ,AMAJUBA,Umzinyashana,Farm,Farm,DEPARTMENT OF EDUCATION & TRAINING(DET),53142,55141,,0,30.662700000000001,-27.707899999999999,AMAJUBA,Emadlangeni Local Municipality,52503006,52501003,UTRECHT NU,Mr TS ZIKODE,TREAGER ESTATE FARM,GROVEDALE FARM,,"TREAGER ESTATE FARM,,VRYHEID,3100","P.O.BOX 10065,VRYHEID,3100",tzikode@yahoo.com,785529994,NO,NONE,2,N,NOT APPLICABLE,02.01.1900,No Fee,RURAL,0,KZ,KZ,500296666,500296666,153,9
