NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
904210159,2025,LP,9,DITHEBELE,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,CAPRICORN NORTH,Unknown,99,99,LEBOWA,800194,413965,7043303,,29.115272522702501,-23.1436542322318,CAPRICORN DISTRICT MUNICIPALITY,BLOUBERG,93501010,90906001,AVON,Legodi JM,99,AVONVILLAGE,POLOKWANE,1784  AVON; MAROBJANE; BOCHUM;,P.O. BOX 1727; BOCHUM,,826703558,YES,99,Q2,99,99,,No Fee,RURAL,579,LP,LP,904210159,904210159,580,15
904210395,2025,LP,9,DENDRON,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,CAPRICORN NORTH,Unknown,99,99,DEPARTMENT OF EDUCATION & TRAINING(DET),850004,413964,,,29.326422732350601,-23.358015181484799,CAPRICORN DISTRICT MUNICIPALITY,MOLEMOLE,93503010,91103000,NONE,DE KOCK JAE,DENDRON,DENDRON,DENDRON,KEISER STREET; DENDRON;,P/BAG X2351; DENDRON,,155010230,YES,99,Q3,99,99,,No Fee,RURAL,99,LP,LP,904210395,904210395,1251,33
904210500,2025,LP,9,MACHABA,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,CAPRICORN NORTH,Unknown,99,99,DEPARTMENT OF EDUCATION & TRAINING(DET),850449,413963,,,29.1228871450082,-23.163735332072601,CAPRICORN DISTRICT MUNICIPALITY,BLOUBERG,93501011,90909001,PURASPAN,Moleya E.M,99,PURASPANVILLAGE,POLOKWANE,PURASPAN VILLAGE; BOCHUM; SITE NO 223;,P.O. BOX 916; BOCHUM,,834380350,YES,99,Q2,99,99,,No Fee,RURAL,579,LP,LP,904210500,904210500,1111,28
904210722,2025,LP,9,MAMOLELE,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,CAPRICORN NORTH,Unknown,99,99,LEBOWA,850739,413962,,,29.246269999999999,-23.285008000000001,CAPRICORN DISTRICT MUNICIPALITY,MOLEMOLE,93503012,91105001,MADIKANA,MASERA KE,99,99,POLOKWANE,STETTIN FARM; MOHODI; GA MADIKANA;,P/BAG X355; DENDRON,,721440089,YES,99,Q2,99,99,,No Fee,RURAL,99,LP,LP,904210722,904210722,231,8
904210821,2025,LP,9,MAPHUTHA,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,CAPRICORN NORTH,Unknown,99,99,DEPARTMENT OF EDUCATION & TRAINING(DET),800028,413961,7043304,,29.110859999999999,-23.09187,CAPRICORN DISTRICT MUNICIPALITY,BLOUBERG,93501012,90906002,INDERMARK,MOKONO L.S,INDERMARK,99,POLOKWANE,INDERMARK; BLOCK  C;,P.O. BOX 620; INDERMARK,,721902962,YES,99,Q2,99,99,,No Fee,RURAL,579,LP,LP,904210821,904210821,408,12
904211442,2025,LP,9,RALEKWALANA,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,CAPRICORN NORTH,Unknown,99,99,DEPARTMENT OF EDUCATION & TRAINING(DET),800181,413960,7043301,,29.128896580239399,-23.1669870156482,CAPRICORN DISTRICT MUNICIPALITY,BLOUBERG,93501011,90909001,PURASPAN,Mokoele M.W,99,GAMACHABAVILLAGE,POLOKWANE,PURASPAN VILLAGE; BOCHUM;,P.O. BOX 1500; BOCHUM,,837906294,YES,99,Q2,99,99,,No Fee,RURAL,579,LP,LP,904211442,904211442,806,25
904220910,2025,LP,9,MMATSHIPI,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,CAPRICORN NORTH,Unknown,99,99,LEBOWA,800127,413947,7041401,,29.1830406035076,-23.931064654926502,CAPRICORN DISTRICT MUNICIPALITY,POLOKWANE,93502013,91216010,PIETERSBURG NU,RAMASHALA LM,MASHASHANE,MASHASHANE,MASHASHANE,STAND NUMBER 330; UTJANE VILLAGE; MASHASHANE;,P.O. BOX 41; MASHASHANE,,152240111,YES,99,Q2,99,99,,No Fee,RURAL,579,LP,LP,904220910,904220910,626,18
904225755,2025,LP,9,LESEDI WALDORF CENTRE,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,CAPRICORN NORTH,Unknown,99,99,NEW EDUCATION DEPARTMENT,,99,,,29.169197769248498,-25.157850398942699,CAPRICORN DISTRICT MUNICIPALITY,POLOKWANE,99,99,99,MSIMANGA S,GAMATLALA,GAMATLALA,POLOKWANE,MADIETANE VILLAGE; GA-MATLALA;,P.O. BOX 1053; BAKONE,,716591517,YES,99,N/A,99,99,,Fee Charging,99,99,LP,LP,904225755,904225755,132,9
905340562,2025,LP,9,ITSHOMELENG,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,CAPRICORN NORTH,Unknown,99,99,DEPARTMENT OF EDUCATION & TRAINING(DET),851510,413867,,,29.910226600692202,-23.478381238227801,CAPRICORN DISTRICT MUNICIPALITY,MOLEMOLE,93503001,91109000,NONE,MOSHOKOA M.R,99,THABISENG,SOEKMEKAAR,22 HLAKANANG ST; NTHABISENG LOC; SOEKMEKAAR;,P.O. BOX 81; SOEKMEKAAR,,742498663,YES,99,Q3,99,99,,No Fee,URBAN,99,LP,LP,905340562,905340562,400,11
905341183,2025,LP,9,NTHABISENG,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,CAPRICORN NORTH,Unknown,99,99,DEPARTMENT OF EDUCATION & TRAINING(DET),413865,413865,7044105,,29.909379999999999,-23.47889,CAPRICORN DISTRICT MUNICIPALITY,MOLEMOLE,93503001,91109000,NONE,MALATSI M.M,99,NTABESENG,SOEKMEKAAR,22 SEKGALABJE ST; NTHABISENG LOCATION; SOEKMEKAAR;,P.O. BOX158; SOEKMEKAAR,,99,YES,99,Q3,99,99,,No Fee,URBAN,99,LP,LP,905341183,905341183,336,8
