NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
800001164,2025,MP,8,SKHILA SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,SECONDARY SUBJECTS,BOHLABELA,Unknown,GOVERNMENT,UNKNOWN,UNKNOWN,501517,501517,6604105,,30.416830000000001,-25.094830000000002,EHLANZENI DISTRICT MUNICIPALITY,THABA CHWEU LOCAL MUNICIPALITY,3,99,99,MR MS MKHONDO,OHRIGSTAD,OHRIGSTAD,MASHISHING,"Cnr POLOKWANE & OHRIGSTAD ROAD, 39 SHOWGROUND STREET, LYDENBURG, 1120",LYDENBURG 1120,,132352540,YES,99,Q2,99,99,,Fee Charging,99,99,MP,MP,0,800001164,1357,41
800035475,2025,MP,8,NKWEZI PRIMARY SCHOOL,Open,Independent,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,BOHLABELA,Unknown,TRIBAL,UNKNOWN,UNKNOWN,,,,,,,EHLANZENI DISTRICT MUNICIPALITY,BUSHBUCKRIDGE LOCAL MUNICIPALITY,99,99,99,NULL,DWARSLOOP,99,DWARSLOOPRAND,"1985 Market Street, Dwalsloop, 1285",NULL,,99,99,99,N/A,N,99,,Fee Charging,99,99,MP,MP,0,800035475,288,12
800035479,2025,MP,8,MOTHAILENG MASHEGO PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,BOHLABELA,Unknown,TRIBAL,UNKNOWN,UNKNOWN,500326,500326,,,27.217390000000002,-25.637689999999999,EHLANZENI DISTRICT MUNICIPALITY,BUSHBUCKRIDGE LOCAL MUNICIPALITY,14,99,99,NKOSI,RIVONI,CASTEEL,CASTEEL,"stand no g 422, violet bank g, bushbuckridge, 1280",PO BOX 12149 bushbuckridge 1280,,732955250,YES,99,Q2,99,99,,Fee Charging,99,99,MP,MP,0,800035479,321,13
800035481,2025,MP,8,SAMUEL MHLANGA PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,BOHLABELA,Unknown,TRUST LAND,UNKNOWN,UNKNOWN,501239,501239,,,31.8398,-28.9206,EHLANZENI DISTRICT MUNICIPALITY,BUSHBUCKRIDGE LOCAL MUNICIPALITY,99,99,99,KHOSA,ALLANDALE TRUST,THULAMAHASHE,THULAMAHASHE,"ALLANDALE TRUST A, , Town, 1365",PO BOX 1027 P.O BOX 1027 THULAMAHASHE 1365,,729667978,YES,99,Q2,99,99,,Fee Charging,99,99,MP,MP,0,800035481,415,12
800035482,2025,MP,8,BADLANGAYE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,BOHLABELA,Unknown,TRIBAL,UNKNOWN,UNKNOWN,500935,,,,31.113189999999999,-24.916149999999998,EHLANZENI DISTRICT MUNICIPALITY,BUSHBUCKRIDGE LOCAL MUNICIPALITY,99,99,99,99,MARITE,Nkanini Trust,HAZYVIEW,"Stand no 409, Nkanini Trust, Hazyview, 1242",PO BOX 571 Hazyview 1242,,823400443,99,99,Q2,99,99,,Fee Charging,99,99,MP,MP,0,800035482,974,26
800035483,2025,MP,8,NDUMA PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,BOHLABELA,Unknown,TRUST LAND,UNKNOWN,UNKNOWN,500541,,,,31.069430000000001,-24.837569999999999,EHLANZENI DISTRICT MUNICIPALITY,BUSHBUCKRIDGE LOCAL MUNICIPALITY,99,99,99,99,DWARSLOOP,99,99,"STAND NO 539, , ORINOCCO A, 1280",PO BOX 471 BUSHBUCKRIDGE 1280,,735414210,YES,99,Q1,99,99,,Fee Charging,99,99,MP,MP,0,800035483,298,10
800035484,2025,MP,8,JB KHOZA PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,BOHLABELA,Unknown,TRUST LAND,UNKNOWN,UNKNOWN,500540,,,,31.266179999999999,-27.39798,EHLANZENI DISTRICT MUNICIPALITY,BUSHBUCKRIDGE LOCAL MUNICIPALITY,99,99,99,99,BUSHBUCKRIDGE,ARTHURSTONE TRUST,99,"37 BLOCK G ARTHURSTONE TRUST, ARTHURSTONE TRUST, BUSHBUCKRIDGE, 1280",PO BOX 76 BUSHBUCKRIDGE BUSHBUCKRIDGE 1280,,715565638,YES,99,Q1,99,99,,Fee Charging,99,99,MP,MP,0,800035484,429,13
800035487,2025,MP,8,KAHLELA PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,BOHLABELA,Unknown,GOVERNMENT,UNKNOWN,UNKNOWN,500833,,,,31.347950000000001,-24.645,EHLANZENI DISTRICT MUNICIPALITY,BUSHBUCKRIDGE LOCAL MUNICIPALITY,99,99,99,99,MANYELETHI,MANYELETI,MANYELETI,"600032 CLARA ""B""HLUVUKANI, HLUVUKANI, BUSHBUCKRIDGE, 1280",PO BOX 57 HLUVUKANI ACORNHOEK 1363,,137085000,YES,99,Q1,99,99,,Fee Charging,99,99,MP,MP,0,800035487,382,10
800035493,2025,MP,8,EZWENI PRIMARY SCHOOL,OPEN,Independent,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,BOHLABELA,Unknown,TRIBAL,MS. L.A. MEBU,UNKNOWN,,,,,30.263719999999999,-28.637460000000001,EHLANZENI DISTRICT MUNICIPALITY,BUSHBUCKRIDGE LOCAL MUNICIPALITY,99,99,99,MS. L.A. MEBU,XIMHUNGWE,MKHUHLU,MKHUHLU,"STAND NO 74, HAZYVIEW, LILLYDALE, 1281",PO BOX 574 XIMHUNGWE LILLYDALE 1281,,137080015,YES,99,N/A,99,99,,Fee Charging,99,99,MP,MP,0,800035493,453,16
800035495,2025,MP,8,GREEN LIGHT PRIMARY SCHOOL,OPEN,Independent,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,BOHLABELA,Unknown,TRIBAL,MS. M. CHAUKE,UNKNOWN,,,,,0,0,EHLANZENI DISTRICT MUNICIPALITY,THABA CHWEU LOCAL MUNICIPALITY,19,99,99,CHAUKE,99,99,99,,,,137955260,99,99,N/A,99,99,,Fee Charging,99,99,MP,MP,0,800035495,415,22
