NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
300011204,2025,NC,3,ISAGO PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FRANCES BAARD (FB),Unknown,DOE NORTHERN CAPE,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),,,,,-287158,247247,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,99,99,NULL,MV  SEBATI,NULL,NULL,KIMBERLEY,"74 STRANGER NKOSI STREET, MANKURWANE, KIMBERLEY, 8345",PO BOX 8037 KIMBERLEY 8335,,538720436,YES,AD,Q2,N,99,08.04.1900,Fee Charging,URBAN,99,NC,Not Moved,0,300011204,1055,33
300011206,2025,NC,3,MOLEHABANGWE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FRANCES BAARD (FB),Unknown,DOE NORTHERN CAPE,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),,,,,-2871198,247229,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,99,99,VERGENOEG EXT 5,MS  MOKWENA,NULL,NULL,KIMBERLEY,"208 MAPUTLE STREET, GALESHEWE, MANKURWANE, 8345",PO BOX 9079 KIMBERLEY 8345,,538314555,YES,ABCD,Q2,Y,99,08.04.1900,Fee Charging,URBAN,99,NC,Not Moved,0,300011206,842,27
300011207,2025,NC,3,MONTSHIWA PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FRANCES BAARD (FB),Unknown,DOE NORTHERN CAPE,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),,,,,-2871433,2474351,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,99,99,GALESHEWE EXT 6,RM MOGOROSI,99,NULL,KIMBERLEY,"100 GESING STREET, GALESHEWE, KIMBERLEY, 8301",PO BOX 8022 KIMBERLEY 8335,,538744453,YES,ABCD,Q2,Y,99,08.04.1900,Fee Charging,URBAN,99,NC,Not Moved,0,300011207,462,15
300011219,2025,NC,3,KIMBERLEY ISLAMIC SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FRANCES BAARD (FB),Unknown,INDEPENDENT,INDEPENDENT,UNKNOWN,,,,,-2871913,247247,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,99,99,NULL,N AYSEN,99,NULL,KIMBERLEY,"186 PHAKAMILA MABIDJA RD Kimberley, 8300",PO BOX 1218 KIMBERLEY 8300,,538326259,99,99,N/A,99,99,22.04.2008,Fee Charging,NULL,99,NC,Not Moved,0,300011219,117,14
300011220,2025,NC,3,RYVA ACADEMY OF LEARNING,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,FRANCES BAARD (FB),Unknown,INDEPENDENT,INDEPENDENT,UNKNOWN,,,,,,,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,99,99,NULL,M THOMAS,NULL,NULL,KIMBERLEY,58A BLACK STREET,PO BOX 3102 KIMBERLEY 8301,,799533344,99,99,N/A,99,99,08.04.1900,Fee Charging,NULL,99,NC,Not Moved,0,300011220,81,8
300011221,2025,NC,3,OREL PRIVATE ACADEMY,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,FRANCES BAARD (FB),Unknown,CHURCH,INDEPENDENT,UNKNOWN,,,,,,,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,99,99,NULL,MC SEBASTIAN,NULL,NULL,KIMBERLEY,13 BIRBECK AVENUE NEW PARK KIMBERLEY 8300,13 BIRBECK AVENUE NEW PARK KIMBERLEY 8300,,617793266,99,99,N/A,99,99,16.09.2016,Fee Charging,NULL,99,NC,Not Moved,0,300011221,140,12
300011224,2025,NC,3,NEW PARK PRIMARY SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,FRANCES BAARD (FB),Unknown,INDEPENDENT,UNKNOWN,UNKNOWN,,,,,,,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,99,99,NULL,NULL,NULL,NULL,KIMBERLEY,NULL,NULL,,,99,99,N/A,99,99,08.04.1900,Fee Charging,NULL,99,NC,Not Moved,0,300011224,95,7
300011303,2025,NC,3,EMANG MMOGO COMPREHENSIVE SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FRANCES BAARD (FB),Unknown,DOE NORTHERN CAPE,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),,,,,-2871419,2472868,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,99,99,VERGENOEG EXT 6,HC   BROOKER,99,NULL,KIMBERLEY,"205 TSHAKA, GALESHEWE, KIMBERLEY, 8335",PO BOX 8040 KIMBERLEY 8335,,538743412,YES,ABCD,Q2,Y,99,08.04.1900,Fee Charging,URBAN,99,NC,Not Moved,0,300011303,1131,41
300011304,2025,NC,3,DELPORTSHOOP GEKOMBINEERDE SKOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,FRANCES BAARD (FB),Unknown,DOE NORTHERN CAPE,PUBLIC,HOUSE OF ASSEMBLY(HOA),,,,,-2841517,2430189,FRANCES BAARD DISTRICT MUNICIPALITY,DIKGATLONG LOCAL MUNICIPALITY,99,99,NULL,AC A.C de Kock,99,99,DELPORTSHOOP,"35 HANEKOM STREET DELPORTSHOOP, 8377",PO BOX 123 DELPORTSHOOP 8377,,535610368,YES,ABCD,Q3,N,99,08.04.1900,Fee Charging,RURAL,99,NC,Not Moved,0,300011304,863,27
300011401,2025,NC,3,FLOORS HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FRANCES BAARD (FB),Unknown,DOE NORTHERN CAPE,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),,,,,-2872248,2476031,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,99,99,COLVILLE,PH   KOK,99,NULL,KIMBERLEY,"STOKROOS STREET, SQUAREHILL PARK, KIMBERLEY, 8301",STOKROOS STREET KIMBERLEY 8301,,538334597,YES,ABCD,Q4,N,99,08.04.1900,Fee Charging,URBAN,99,NC,Not Moved,0,300011401,1172,42
