NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
200500012,2025,EC,2,BALENI JUNIOR SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,ALFRED NZO EAST,Unknown,GOVERNMENT,UNKNOWN,TRANSKEI,14102,14102,,,-31.157779999999999,29.97026,Alfred Nzo District Municipality,Mbizana Local Municipality,99,23001013,Pumzipika,MADIKIZELA N,99,99,BIZANA,"Amadiba A/A,Baleni Location,Bizana,4800","P.O. BOX 520, BIZANA, 4800",,834115609,Yes,99,Q1,99,99,01.01.1960,No Fee,Rural,99,EC,EC,200500012,200500012,297,11
200500013,2025,EC,2,BALENI  SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,ALFRED NZO EAST,Unknown,GOVERNMENT,PUBLIC,TRANSKEI,14101,14101,4241002,,-31.156189999999999,29.97034,Alfred Nzo District Municipality,Mbizana Local Municipality,99,23001013,Pumzipika,MSABANE N,99,99,BIZANA,"Amadiba A/A,Baleni Location,Bizana,4800","P.O. BOX 549, BIZANA, BIZANA, 4800,",,837556484,Yes,99,Q1,99,99,01.01.1975,No Fee,Rural,99,EC,EC,200500013,200500013,950,29
200500023,2025,EC,2,BEKAMEVA  PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,ALFRED NZO EAST,Unknown,GOVERNMENT,PUBLIC,TRANSKEI,14103,14103,105094,,-30.774529999999999,29.788460000000001,Alfred Nzo District Municipality,Mbizana Local Municipality,99,23012023,Ndayingana,SAPO M,99,99,BIZANA,"Isikelo A/A,Bizana,Bizana,4800","P.O. BOX 210098, BIZANA, BISHO, 4800,",,788350568,Yes,99,Q2,99,99,01.01.1981,No Fee,Urban,99,EC,EC,200500023,200500023,471,11
200500024,2025,EC,2,BEKELA  PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,ALFRED NZO EAST,Unknown,GOVERNMENT,PUBLIC,TRANSKEI,14104,14104,105181,,-31.115649999999999,30.081410000000002,Alfred Nzo District Municipality,Mbizana Local Municipality,99,23001004,Kulumbe,MBOKAZI N,99,BEKELA,PORT EDWARD,"Umgungundlovu A/A,Bekela Location ,Bizana,4295","P.O. BOX 937, PORT EDWARD, 4295,",,735406823,Yes,99,Q1,99,99,01.01.1978,No Fee,Rural,99,EC,EC,200500024,200500024,142,7
200500039,2025,EC,2,AD TSHAYINGCA SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,ALFRED NZO EAST,Unknown,GOVERNMENT,UNKNOWN,TRANSKEI,14108,14108,4241001,,-30.865359999999999,29.852409999999999,Alfred Nzo District Municipality,Mbizana Local Municipality,99,23008000,NONE,PHUNGULA NB,99,99,BIZANA,"140 Hope Street,Bizana,Mbizana,4800","P.O. BOX 149, MBIZANA, 4800,",,,Yes,99,Q3,99,99,01.01.1976,No Fee,Urban,99,EC,EC,200500039,200500039,1933,49
200500040,2025,EC,2,NTUNJENI PREPARATORY PRIMARY SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,ALFRED NZO EAST,Unknown,PRIVATE,PRIVATE,UNKNOWN,,,,,-30.993842999999998,30.024426999999999,Alfred Nzo District Municipality,Mbizana Local Municipality,99,23009061,Pele-Pele,TYEKELA M,,99,MBIZANA,"Imizizi A/A,Ntunjeni Location,Bizana,4800","P O Box 621, REDOUBT, 4801",,837582522,No,NONE,N/A,99,99,20.01.2016,Fee Charging,RURAL,99,EC,EC,200500040,200500040,233,13
200500041,2025,EC,2,BIZANA VILLAGE  SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,ALFRED NZO EAST,Unknown,GOVERNMENT,PUBLIC,TRANSKEI,14106,14106,4241003,,-30.86477,29.856030000000001,Alfred Nzo District Municipality,Mbizana Local Municipality,99,23008000,NONE,PHEPHU D,99,99,BIZANA,"Erf 762,Near St Patrick'S Hospital,Bizana,4800","PRIVATE BAG X616, BIZANA, MBIZANA, 4800",,392510384,Yes,99,Q3,99,99,01.01.1984,No Fee,Urban,99,EC,EC,200500041,200500041,1924,51
200500048,2025,EC,2,BOKUVENI  PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,ALFRED NZO EAST,Unknown,GOVERNMENT,UNKNOWN,TRANSKEI,14109,14109,,,-30.905449999999998,29.55688,Alfred Nzo District Municipality,Mbizana Local Municipality,99,23010004,Bukuveni,DUNGA HM,99,99,FLAGSTAFF,"Bokuveni A/A,Bokuveni Location,Bizana,4810","P.O. BOX 452, FLAGSTAFF, FLAGSTAFF, 4810,",,797723672,Yes,99,Q1,99,99,01.01.1910,No Fee,Rural,99,EC,EC,200500048,200500048,228,5
200500052,2025,EC,2,BONDA  PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,ALFRED NZO EAST,Unknown,GOVERNMENT,UNKNOWN,TRANSKEI,14110,14110,,,-30.839880000000001,29.616669999999999,Alfred Nzo District Municipality,Mbizana Local Municipality,99,23010003,Bonda,NOFEMELE S,,BIZANA,KOKSTAD,"Amantshangase A/A,Bonda Location,Bizana,4800","P.O. BOX 1289, KOKSTAD, 4700,",,735497458,Yes,99,Q1,99,99,01.01.1975,No Fee,Rural,99,EC,EC,200500052,200500052,200,9
200500071,2025,EC,2,BUTTVILLE JUNIOR SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,ALFRED NZO EAST,Unknown,GOVERNMENT,PUBLIC,TRANSKEI,14111,14111,105097,,-30.948969999999999,29.609259999999999,Alfred Nzo District Municipality,Mbizana Local Municipality,99,23010001,Badville,MASIKISIKI N,99,99,FLAGSTAFF,"Buttville A/A,Buttville Location,Flagstaff,4810","P.O.BOX 568, FLAGSTAFF, FLAGSTAFF, 4810",,839284289,Yes,99,Q1,99,99,01.01.1958,No Fee,Rural,99,EC,EC,200500071,200500071,175,11
